Movie_Name,Movie_Description,Movie_Date_Of_Release,Movie_Genres,Movie_Rate,Movie_Metascore,Movie_Length,Movie_Votes,Movie_Restriction,Movie_Gross
Star Wars,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,"Action, Adventure, Fantasy",8.6,90.0,121,1335472,PG,"322,740,140"
Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,"Action, Drama, Mystery",8.6,85.0,133,54904,Not Rated,
Seven Samurai,"""A veteran samurai, gathers six samurais to protect a village from the cruel bandits. As the samurais teach the natives how to defend themselves, the village is attacked by a pack of 40 bandits.",1954,"Action, Drama",8.6,98.0,207,341089,Not Rated,"269,061"
Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",2019,"Action, Crime, Thriller",8.5,,145,26102,Not Rated,
Asuran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",2019,"Action, Drama",8.5,,141,27117,Not Rated,
K.G.F: Chapter 2,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.",2022,"Action, Crime, Drama",8.5,,168,111416,Not Rated,
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,"Action, Adventure, Drama",8.5,67.0,155,1465096,R,"187,705,427"
Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,"Action, Crime, Drama",8.5,64.0,110,1135217,R,"19,501,238"
Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",2018,"Animation, Action, Adventure",8.4,87.0,117,500796,PG,"190,241,310"
Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,"Action, Adventure, Drama",8.4,78.0,181,1073144,PG-13,"858,373,000"
Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,"Action, Adventure, Sci-Fi",8.4,68.0,149,1032047,PG-13,"678,815,482"
The Dark Knight Rises,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,"Action, Drama",8.4,78.0,164,1665503,PG-13,"448,139,099"
Shershaah,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",2021,"Action, Biography, Drama",8.4,,135,118004,TV-14,
Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,"Action, Drama, Mystery",8.4,77.0,120,566332,R,"707,481"
Aliens,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",1986,"Action, Adventure, Sci-Fi",8.4,84.0,137,704114,R,"85,160,248"
Indiana Jones and the Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",1981,"Action, Adventure",8.4,85.0,115,949239,PG,"248,159,971"
Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2016,"Action, Biography, Drama",8.3,,161,185114,Not Rated,"12,391,761"
Spider-Man: No Way Home,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",2021,"Action, Adventure, Fantasy",8.3,71.0,148,674547,PG-13,"804,747,988"
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995,"Action, Crime, Drama",8.3,76.0,170,639496,R,"67,436,818"
Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",1983,"Action, Adventure, Fantasy",8.3,58.0,131,1031624,PG,"309,125,409"
North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",1959,"Action, Adventure, Mystery",8.3,98.0,136,323465,Approved,"13,275,000"
1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,"Action, Drama, War",8.2,78.0,119,559982,R,"159,227,644"
Uri: The Surgical Strike,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",2019,"Action, Drama, History",8.2,,138,59801,Not Rated,"4,186,168"
K.G.F: Chapter 1,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",2018,"Action, Crime, Drama",8.2,,156,78386,Not Rated,
Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",2022,"Action, Adventure, Comedy",8.2,81.0,139,144216,R,
Vikram Vedha,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",2017,"Action, Crime, Drama",8.2,,147,38151,Not Rated,
The Mountain II,"In a desolate war zone where screams of the innocent echo, seven Maroon Berets will dance with death on the very line between disaster and valor.",2016,"Action, Drama, War",8.2,,135,108157,,
Baahubali 2: The Conclusion,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",2017,"Action, Drama",8.2,,167,94748,Not Rated,"20,186,659"
Gangs of Wasseypur,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",2012,"Action, Comedy, Crime",8.2,89.0,321,94365,Not Rated,
Paan Singh Tomar,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",2012,"Action, Biography, Crime",8.2,,135,36109,Not Rated,"39,567"
Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011,"Action, Drama, Sport",8.2,71.0,140,466160,PG-13,"13,657,115"
Demon Slayer the Movie: Mugen Train,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.",2020,"Animation, Action, Adventure",8.2,72.0,117,53983,R,"47,700,000"
V for Vendetta,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",2006,"Action, Drama, Sci-Fi",8.2,62.0,132,1104643,R,"70,511,035"
Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005,"Action, Crime, Drama",8.2,70.0,140,1437758,PG-13,"206,852,432"
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,"Action, Crime, Drama",8.2,69.0,111,1091830,R,"70,099,045"
"Lock, Stock and Two Smoking Barrels","Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",1998,"Action, Comedy, Crime",8.2,66.0,107,574201,R,"3,897,569"
Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993,"Action, Adventure, Sci-Fi",8.2,68.0,127,964213,PG-13,"402,453,882"
Indiana Jones and the Last Crusade,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",1989,"Action, Adventure",8.2,65.0,127,742605,PG-13,"197,171,806"
Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,"Action, Thriller",8.2,72.0,132,862129,R,"83,008,852"
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1985,"Action, Drama, War",8.2,96.0,162,124103,R,"4,135,750"
Yojimbo,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1961,"Action, Drama, Thriller",8.2,93.0,110,121598,Not Rated,
The General,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines.",1926,"Action, Adventure, Comedy",8.2,,67,90493,Passed,"1,033,895"
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924,"Action, Comedy, Romance",8.2,,45,49084,Passed,"977,375"
Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,2015,"Action, Adventure, Comedy",8.1,,163,85851,Not Rated,"8,178,001"
Haider,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",2014,"Action, Crime, Drama",8.1,,160,54751,Not Rated,"901,610"
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,"Action, Drama, Sci-Fi",8.1,77.0,137,738370,R,"226,277,068"
Rush I,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2013,"Action, Biography, Drama",8.1,74.0,123,472234,R,"26,947,624"
Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,2019,"Action, Biography, Drama",8.1,81.0,152,374071,PG-13,"117,624,028"
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2015,"Action, Adventure, Sci-Fi",8.1,90.0,120,977561,R,"154,058,340"
How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,"Animation, Action, Adventure",8.1,75.0,98,725856,PG,"217,581,231"
Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2003,"Action, Adventure, Fantasy",8.1,63.0,143,1103953,PG-13,"305,413,918"
Hera Pheri,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",2000,"Action, Comedy, Crime",8.1,,156,65732,Not Rated,
Sarfarosh,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",1999,"Action, Drama, Thriller",8.1,,174,25583,Not Rated,
The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1999,"Animation, Action, Adventure",8.1,85.0,86,189221,PG,"23,159,305"
The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1984,"Action, Sci-Fi",8.1,84.0,107,848420,R,"38,400,000"
Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1982,"Action, Drama, Sci-Fi",8.1,84.0,117,754649,R,"32,868,943"
Sholay,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",1975,"Action, Adventure, Comedy",8.1,,162,55319,Not Rated,
The Hidden Fortress,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",1958,"Action, Adventure, Drama",8.1,89.0,126,38825,Not Rated,
White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,1949,"Action, Crime, Drama",8.1,,114,32745,Not Rated,
RRR,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,2022,"Action, Drama",8.0,83.0,187,83871,Not Rated,
Kaththi,A case of mistaken identity embroils an escaped convict in a fight against a large corporation intent on seizing a village's land.,2014,"Action, Drama",8.0,,166,26637,Not Rated,
Baahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",2015,"Action, Drama",8.0,,159,119631,Not Rated,"6,738,000"
1: Nenokkadine,A rock star must overcome his psychological inhibitions to seek revenge for his parents' death.,2014,"Action, Thriller",8.0,,170,45230,Not Rated,
Thuppakki,An army captain is on a mission to track down and destroy a terrorist gang and deactivate the sleeper cells under its command.,2012,"Action, Thriller",8.0,,165,33990,Not Rated,
Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2014,"Action, Adventure, Comedy",8.0,76.0,121,1150309,PG-13,"333,176,600"
Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",2017,"Action, Drama, Mystery",8.0,81.0,164,547746,R,"92,054,159"
The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,2015,"Action, Adventure, Drama",8.0,76.0,156,784738,R,"183,637,894"
Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",2010,"Action, Crime, Drama",8.0,71.0,115,82773,Not Rated,"100,119"
Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2016,"Action, Adventure, Comedy",8.0,65.0,108,1007040,R,"363,070,709"
A Wednesday,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,2008,"Action, Crime, Drama",8.0,,104,78197,Not Rated,
Zack Snyder's Justice League,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2021,"Action, Adventure, Fantasy",8.0,54.0,242,382907,R,
Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",2008,"Action, Biography, Drama",8.0,59.0,106,222372,R,
Dune,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,2021,"Action, Adventure, Drama",8.0,74.0,155,588532,PG-13,"108,327,830"
Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",2007,"Action, Crime, Drama",8.0,33.0,115,103380,R,"8,060"
The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,2012,"Action, Adventure, Sci-Fi",8.0,69.0,143,1364421,PG-13,"623,279,547"
The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,2007,"Action, Mystery, Thriller",8.0,85.0,115,629747,PG-13,"227,471,070"
Tae Guk Gi: The Brotherhood of War,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",2004,"Action, Drama, War",8.0,64.0,140,39630,R,"1,111,061"
Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",2006,"Action, Adventure, Thriller",8.0,80.0,144,648824,PG-13,"167,445,960"
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2004,"Action, Crime, Thriller",8.0,83.0,137,742066,R,"66,208,183"
Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",2002,"Action, Crime, Drama",8.0,75.0,101,124049,R,"169,659"
The Incredibles,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",2004,"Animation, Action, Adventure",8.0,90.0,115,718506,PG,"261,441,092"
Neon Genesis Evangelion: The End of Evangelion,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,1997,"Animation, Action, Drama",8.0,,87,53024,TV-MA,
Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,1994,"Action, Comedy, Romance",8.0,,160,53043,Not Rated,
Akira,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",1988,"Animation, Action, Drama",8.0,67.0,124,182881,R,"553,171"
Sanjuro,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",1962,"Action, Drama, Thriller",8.0,,96,37998,Not Rated,
Minnal Murali,"An unusual event creates a lightning which in turns gives superhuman abilies to an ambitious tailor ,whose responsibility is now to protect his home village from the evil plans of the antagonist.",2021,"Action, Adventure, Comedy",7.9,,158,28239,TV-14,
Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",2016,"Action, Drama, History",7.9,,130,56688,Not Rated,
Baby I,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",2015,"Action, Crime, Thriller",7.9,,159,57308,Not Rated,
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",2017,"Action, Adventure, Comedy",7.9,74.0,130,713585,PG-13,"315,058,289"
The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",2014,"Action, Crime, Thriller",7.9,71.0,150,122414,R,"2,625,803"
Vishwaroopam,"When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.",2013,"Action, Thriller",7.9,,148,40116,Not Rated,
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,2014,"Action, Adventure, Sci-Fi",7.9,75.0,132,702628,PG-13,"233,921,534"
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",2022,"Action, Crime, Drama",7.9,72.0,176,538415,PG-13,
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",2014,"Action, Adventure, Sci-Fi",7.9,71.0,113,662883,PG-13,"100,206,256"
The Breath,Story of 40-man Turkish task force who must defend a relay station.,2009,"Action, Drama, Thriller",7.9,,128,33629,,
District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,2009,"Action, Sci-Fi, Thriller",7.9,81.0,112,673848,R,"115,646,235"
Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,2009,"Action, Adventure, Sci-Fi",7.9,82.0,127,599968,PG-13,"257,730,019"
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",2006,"Action, Adventure, Drama",7.9,89.0,141,162012,R,"13,756,082"
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008,"Action, Adventure, Sci-Fi",7.9,79.0,126,1035677,PG-13,"318,412,101"
Hero,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",2002,"Action, Adventure, Drama",7.9,85.0,120,180645,PG-13,"53,710,019"
The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",2002,"Action, Mystery, Thriller",7.9,68.0,119,541026,PG-13,"121,661,683"
Children of Men,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",2006,"Action, Drama, Sci-Fi",7.9,84.0,109,494650,R,"35,552,383"
"Crouching Tiger, Hidden Dragon",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,2000,"Action, Adventure, Drama",7.9,94.0,120,267158,PG-13,"128,078,872"
Knockin' on Heaven's Door,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",1997,"Action, Crime, Comedy",7.9,,87,30336,Not Rated,"3,296"
Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,1995,"Animation, Action, Crime",7.9,76.0,83,141223,TV-MA,"515,905"
The Blues Brothers,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",1980,"Action, Adventure, Comedy",7.9,60.0,133,197213,R,"57,229,890"
The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",1969,"Action, Adventure, Western",7.9,97.0,135,84216,R,"12,064,472"
A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",1964,"Action, Drama, Western",7.9,65.0,99,214699,R,"14,500,000"
The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",1938,"Action, Adventure, Romance",7.9,97.0,102,50832,PG,"3,981,000"
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",2019,"Action, Comedy, Crime",7.8,51.0,113,323987,R,
Dragon Ball Super: Broly,"Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before.",2018,"Animation, Action, Adventure",7.8,59.0,100,26695,PG,"30,712,119"
Dunkirk,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",2017,"Action, Drama, History",7.8,94.0,106,638722,PG-13,"188,373,161"
Rogue One: A Star Wars Story,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",2016,"Action, Adventure, Sci-Fi",7.8,65.0,133,614502,PG-13,"532,177,324"
Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,2016,"Action, Adventure, Sci-Fi",7.8,75.0,147,763594,PG-13,"408,084,349"
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",2015,"Action, Adventure, Sci-Fi",7.8,80.0,138,916014,PG-13,"936,662,225"
Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",2014,"Animation, Action, Adventure",7.8,74.0,102,452365,PG,"222,527,828"
Captain America: The Winter Soldier,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",2014,"Action, Adventure, Sci-Fi",7.8,70.0,136,824808,PG-13,"259,766,572"
How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",2014,"Animation, Action, Adventure",7.8,77.0,102,330323,PG,"177,002,924"
I Saw the Devil,A secret agent exacts revenge on a serial killer through a series of captures and releases.,2010,"Action, Crime, Drama",7.8,67.0,144,127590,Not Rated,"128,392"
Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",2013,"Action, Biography, Crime",7.8,82.0,134,453857,PG-13,"107,100,855"
The Chaser,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,2008,"Action, Crime, Drama",7.8,64.0,125,65481,Not Rated,
